CCAA;Ciudad;Universidad;Grupo;URL grupo;Nombre y Apellidos;Posición;Afiliación;Genero;Año de la primera publicación;Documentos por autor (1er tema al que más ha contribuido) en Scopus;1er tema al que el autor ha contribuido más en Scopus entre 2017–2021;Impacto de las citas ponderado por 1er tema;Documentos por autor (2do tema al que más ha contribuido) en Scopus;2do tema al que el autor ha contribuido más en Scopus entre 2017–2021;Impacto de las citas ponderado por 2do tema;ScopusID;ScopusID URL;WOS ResearcherID;Orcid;GoogleScholar;Balz;Citaciones GS;h-index GS;i10-index GS;Citaciones desde 2018 GS;h-index desde 2018 GS;i10-index desde 2018;Citaciones Scopus;Documentos citados Scopus;h-index Scopus;Numero de documentos Scopus;co-autores Scopus;Scopus tot citations / tot coauthors;Mean H-index Scopus-Google;Mean citations Scopus-Google
Andalucía;Málaga;Universidad de Málaga;Networks, Information and Computer Security Lab - NICS;https://www.nics.uma.es/jlm;Rodrigo Román Castro;Titular;;;2002;2;"Edge Computing; Internet Of Things; Location Awareness";2,25;1;"Fog Computing; Network Protocol; Internet of Things";1,86;22735230000;https://www.scopus.com/authid/detail.uri?authorId=22735230000;AAC-3701-2022;https://orcid.org/0000-0002-4099-1422;https://scholar.google.com/citations?hl=en&user=vnvXMWsAAAAJ;;7254;29;52;4084;21;31;3882;3551;21;54;45;86;25;5568
Andalucía;Málaga;Universidad de Málaga;Networks, Information and Computer Security Lab - NICS;https://www.nics.uma.es/jlm;Cristina Alcaraz Tello;Titular;;1;2006;8;"Attack; Supervisory Control; Intrusion Detection";1,22;7;"Advanced Metering Infrastructures; Internet Of Things; Privacy Preserving        ";1,27;56238490500;https://www.scopus.com/authid/detail.uri?authorId=56238490500;F-8563-2016;https://orcid.org/0000-0003-0545-3191;not found;;not found;not found;not found;not found;not found;not found;2015;1623;26;83;66;31;26;2015
Andalucía;Málaga;Universidad de Málaga;Networks, Information and Computer Security Lab - NICS;https://www.nics.uma.es/jlm;Rubén Ríos del Pozo;Titular;;;2011;5;"Digital Forensics; Cybercrime; Electronic Crime Countermeasures        ";0,79;1;"Edge Computing; Internet Of Things; Location Awareness";2,25;52364670700;https://www.scopus.com/authid/detail.uri?authorId=52364670700;L-2390-2015;https://orcid.org/0000-0002-6251-4897;https://scholar.google.com/citations?hl=en&user=H_pwttIAAAAJ;;730;15;17;572;13;14;474;419;13;29;19;25;14;602
Andalucía;Málaga;Google;;;Marcos Arjona;Technical Program Manager at Google;Grado UMA;;2012;1;"Software Security; Requirement Engineering; Business Process Model";0,84;0;NA;0;57193215029;https://www.scopus.com/authid/detail.uri?authorId=57193215029;EKN-6351-2022;https://orcid.org/0000-0002-3735-4780;https://scholar.google.com/citations?user=2Fr3ZRcAAAAJ&hl=en&oi=ao;;68;5;2;26;2;1;24;17;3;7;10;2;4;46
Andalucía;Málaga;Universidad de Málaga;;;Plantilla:;5;Mujeres:;1;0;;"Attack; Supervisory Control; Intrusion Detection; Random Oracle Model; Encryption; Computer Security; Edge Computing; Internet Of Things; Location Awareness; Attack; Supervisory Control; Intrusion Detection; Digital Forensics; Cybercrime; Electronic Crime Countermeasures; Software Security; Requirement Engineering; Business Process Model";1,19;;"Advanced Metering Infrastructures; Internet Of Things; Privacy Preserving; Computer Security; CAN Bus; Electronic Control; Fog Computing; Network Protocol; Internet of Things; Advanced Metering Infrastructures; Internet Of Things; Privacy Preserving; Edge Computing; Internet Of Things; Location Awareness";1,59;;;;;;;;;;;;;2261;;18;90;;31;20;3056
Andalucía;Sevilla;Universidad de Sevilla;;;Rafael Ceballos Guerrero;Profesor Contratado;;;2002;1;"Software Product Lines; Software Design; Product Configuration";0,77;1;"Compliance Management; Business Process; Information Systems";0,66;12345229500;https://www.scopus.com/authid/detail.uri?authorId=12345229500;L-3444-2014;https://orcid.org/0000-0001-7144-8011;https://scholar.google.es/citations?user=RDw2QE4AAAAJ;;387;11;17;66;4;1;155;124;8;33;21;7;9,5;271
Andalucía;Sevilla;Universidad de Sevilla;DEPARTAMENTO DE INGENIERÍA TELEMÁTICA (DIT);;Rafael María Estepa Alonso;Titular;;;2001;2;"Drone; Unmanned Aerial Vehicles; Base Stations";2,24;2;"Intrusion Detection System; Network Security; Denial-Of-Service Attack        ";2,19;22333662200;https://www.scopus.com/authid/detail.uri?authorId=22333662200;L-2767-2017;https://orcid.org/0000-0001-8505-1920;https://scholar.google.es/citations?user=Ztiw2ZYAAAAJ;;333;10;10;147;6;3;176;147;7;34;23;8;8,5;254,5
Andalucía;Sevilla;Universidad de Sevilla;SISTEMAS INFORMATICOS;;Ángel Jesús Varela Vaca;Titular;;;2008;8;"Process Mining; Enterprise Resource Management; Petri Nets";1,2;4;"Software Product Lines; Software Design; Product Configuration";0,77;25642067800;https://www.scopus.com/authid/detail.uri?authorId=25642067800;K-8149-2014;https://orcid.org/0000-0001-9953-6005;https://scholar.google.es/citations?user=r9vol3kAAAAJ;;426;13;19;308;10;14;224;170;8;52;50;4;10,5;325
Andalucía;Sevilla;Universidad de Sevilla;;;Plantilla:;3;Mujeres:;0;0;;"Software Product Lines; Software Design; Product Configuration; Drone; Unmanned Aerial Vehicles; Base Stations; Process Mining; Enterprise Resource Management; Petri Nets";1,40;;"Compliance Management; Business Process; Information Systems; Intrusion Detection System; Network Security; Denial-Of-Service Attack; Software Product Lines; Software Design; Product Configuration";1,21;;;;;;;;;;;;;185;;8;40;;7;10;284
Aragón;Zaragoza;Universidad de Zaragoza;COSMOS (COMPUTER SCIENCE FOR COMPLEX SYSTEM MODELLING);https://sideral.unizar.es/sideral/CV/0000-0002-5925-6049;Fernando Tricas García;Titular;;;1995;;This author has no topics at the moment. ;;0;NA;0;19639563800;https://www.scopus.com/authid/detail.uri?authorId=19639563800;DXP-9979-2022;https://orcid.org/0000-0002-5925-6049;https://scholar.google.com/citations?user=zBd_bm8AAAAJ&hl=es;;1236;16;24;181;8;8;465;367;9;17;20;23;12,5;850,5
Aragón;Zaragoza;Universidad de Zaragoza;RME-DISCO RESEARCH GROUP (parte del Grupo de I+D en Computación Distribuida - DisCo);https://reversea.me/;Ricardo J. Rodríguez Fernández;Assistant Professor;;;2010;5;"Digital Forensics; Cybercrime; Electronic Crime Countermeasures        ";0,80;3;"Malware; Obfuscation; Binary Codes";1,51;56794828000;https://www.scopus.com/authid/detail.uri?authorId=56794828000;A-9844-2011;https://orcid.org/0000-0001-7982-0359;https://scholar.google.com/citations?hl=en&user=HlQC1OcAAAAJ;;601;14;23;421;12;14;340;294;10;63;70;5;12;470,5
Aragón;Zaragoza;Universidad de Zaragoza;;;Plantilla:;1;Mujeres:;0;0;;;;0;;0;;;;;;;;;;;;;465;;9;17;;23;13;851
Islas Baleares;Palma, Illes Balears;Universitat de les Illes Balears;Security and e-Commerce - SECOM;https://www.uib.eu/research/structures/groups/grup/SECOM/equip/index.html;Llorenç Huguet Rotger;Catedrático;;;1985;3;"Near Field Communication; Mobile Payment; Internet Of Things        ";0,66;2;"Fair Exchange; Non-Repudiation; Blockchain";0,83;8905986300;https://www.scopus.com/authid/detail.uri?authorId=8905986300;CVZ-8507-2022;https://orcid.org/0000-0001-7568-8071;https://scholar.google.com/citations?hl=en&user=9v3RMB8AAAAJ&view_op=list_works&sortby=pubdate;;311;11;11;99;6;3;274;230;10;45;26;11;10,5;292,5
Islas Baleares;Palma, Illes Balears;Universitat de les Illes Balears;Security and e-Commerce - SECOM;https://www.uib.eu/research/structures/groups/grup/SECOM/equip/index.html;Josep Lluís Ferrer-Gomila;Titular;;;2000;5;"Fair Exchange; Non-Repudiation; Blockchain";0,83;2;"Authentication; Electronic Cash; Revocation";1,01;6603329751;https://www.scopus.com/authid/detail.uri?authorId=6603329751;CQB-5262-2022;https://orcid.org/0000-0003-1848-6232;https://scholar.google.com/citations?hl=en&user=mquFXocAAAAJ&view_op=list_works&sortby=pubdate;;564;12;17;243;9;8;318;230;10;56;25;13;11;441
Islas Baleares;Palma, Illes Balears;Universitat de les Illes Balears;Security and e-Commerce - SECOM;https://www.uib.eu/research/structures/groups/grup/SECOM/equip/index.html;María Francisca Hinarejos Campos;Titular;;1;2003;5;"Fair Exchange; Non-Repudiation; Blockchain";0,83;2;"Authentication; Electronic Cash; Revocation";1,01;14037373100;https://www.scopus.com/authid/detail.uri?authorId=14037373100;K-6074-2014;https://orcid.org/0000-0003-4755-2614;not found;;not found;not found;not found;not found;not found;not found;223;183;9;40;34;7;9;223
Islas Baleares;Palma, Illes Balears;Universitat de les Illes Balears;;;Plantilla:;3;Mujeres:;1;0;;"Near Field Communication; Mobile Payment; Internet Of Things; Fair Exchange; Non-Repudiation; Blockchain; Fair Exchange; Non-Repudiation; Blockchain";0,77;;"Fair Exchange; Non-Repudiation; Blockchain; Authentication; Electronic Cash; Revocation; Authentication; Electronic Cash; Revocation";0,95;;;;;;;;;;;;;272;;10;47;;10;10;319
Canarias;Tenerife;Universidad de la Laguna;Criptología - CryptULL;https://pcaballe.webs.ull.es/;Pino Caballero Gil;Catedrático;;1;1995;2;"Bitcoin; Ethereum; Internet Of Things";2,57;2;"Drone; Unmanned Aerial Vehicles; Base Stations";2,24;8881576700;https://www.scopus.com/authid/detail.uri?authorId=8881576700;K-7251-2012;https://orcid.org/0000-0002-0859-5876;https://scholar.google.com/citations?user=SlO_vGoAAAAJ;;1521;20;50;645;13;18;731;620;14;174;55;13;17;1126
Canarias;Tenerife;Universidad de la Laguna;Criptología - CryptULL;https://pcaballe.webs.ull.es/;Cándido Caballero Gil;Titular;;;2007;3;"Localization; Received Signal Strength; Wi-Fi";1,25;2;"Drone; Unmanned Aerial Vehicles; Base Stations";2,24;23396211300;https://www.scopus.com/authid/detail.uri?authorId=23396211300;F-1540-2014;https://orcid.org/0000-0002-6910-6538;https://scholar.google.com/citations?user=5sxaHCAAAAAJ;;799;17;25;388;11;12;408;372;11;80;44;9;14;603,5
Canarias;Tenerife;Universidad de la Laguna;Criptología - CryptULL;https://pcaballe.webs.ull.es/;Candelaria Hernández Goya;Titular;;1;2001;2;"Network Security; Wireless Sensor Networks; Elliptic Curves";0,97;2;"Mass Disaster; Triage; Emergency Responders";0,72;12807315000;https://www.scopus.com/authid/detail.uri?authorId=12807315000;Q-5534-2018;https://orcid.org/0000-0002-9468-708X;https://scholar.google.com/citations?hl=en&user=BIxZU78AAAAJ;;325;11;11;121;5;2;159;147;9;44;15;11;10;242
Canarias;Tenerife;Universidad de la Laguna;;;Plantilla:;3;Mujeres:;2;0;;"Bitcoin; Ethereum; Internet Of Things; Localization; Received Signal Strength; Wi-Fi; Network Security; Wireless Sensor Networks; Elliptic Curves";1,60;;"Drone; Unmanned Aerial Vehicles; Base Stations; Drone; Unmanned Aerial Vehicles; Base Stations; Mass Disaster; Triage; Emergency Responders";1,73;;;;;;;;;;;;;433;;11;99;;11;14;657
Cantabria;Santander;Universidad de Cantabria;Algorithmic Mathematics And Cryptography;https://web.unican.es/portal-investigador/grupos/detalle-grupo?g=800;Jaime Gutierrez Gutierrez;Catedrático;;;1989;1;"Abelian Variety; Orbit; Integral Points";0,58;1;"Inner Functions; Decomposition; Polynomials";0,33;7401652951;https://www.scopus.com/authid/detail.uri?authorId=7401652951;FXS-2484-2022;https://orcid.org/0000-0003-1892-3084;not found;;not found;not found;not found;not found;not found;not found;544;364;14;64;37;15;14;544
Cantabria;Santander;Universidad de Cantabria;Algorithmic Mathematics And Cryptography;https://web.unican.es/portal-investigador/grupos/detalle-grupo?g=800;Domingo Gómez Pérez;Catedrático;;;2001;2;"Quasi-Monte Carlo; Discrepancy; Tractability";0,69;1;"Homomorphic Encryption; Computer Security; Lattice Ideal";1,29;9735396300;https://www.scopus.com/authid/detail.uri?authorId=9735396300;S-2121-2018;https://orcid.org/0000-0002-5780-2165;https://scholar.google.es/citations?user=Y8SbMYUAAAAJ&hl=es;;829;17;27;311;8;7;395;280;10;64;49;8;13,5;612
Cantabria;Santander;Universidad de Cantabria;Ingeniería Software y Tiempo Real;https://www.ctr.unican.es/;Carlos Blanco Bueno;Titular;Doctor por la UCLM;;2008;2;"Concurrency Control; Transaction Processing; Key";1,24;2;"Software Security; Requirement Engineering; Business Process Model        ";0,84;57213021063;https://www.scopus.com/authid/detail.uri?authorId=57213021063;H-6911-2012;https://orcid.org/0000-0001-9001-0904;https://scholar.google.es/citations?user=C06fhqMAAAAJ&hl=es;;724;12;13;218;4;3;412;356;8;38;33;12;10;568
Cantabria;Santander;Universidad de Cantabria;Ingeniería Software y Tiempo Real;https://www.ctr.unican.es/;Alberto Eloy García Gutiérrez;Profesor Contratado;;;1998;;This author has no topics at the moment. ;;0;NA;0;57149374600;https://www.scopus.com/authid/detail.uri?authorId=57149374600;I-4881-2012;https://orcid.org/0000-0002-5708-9558;https://scholar.google.es/citations?user=hWcBxdcAAAAJ&hl=es;;115;6;2;23;2;0;27;25;3;14;36;1;4,5;71
Cantabria;Santander;Universidad de Cantabria;Ingeniería Software y Tiempo Real;https://www.ctr.unican.es/;Diego García Saíz;Titular;;;2011;2;"Concurrency Control; Transaction Processing; Key";1,24;2;"Meta-Learning; Learning Systems; Feature Selection";1,12;55027407200;https://www.scopus.com/authid/detail.uri?authorId=55027407200;HGT-0314-2022;https://orcid.org/0000-0002-7182-7879;https://scholar.google.es/citations?user=mSqZRycAAAAJ&hl=es;;543;12;14;251;8;8;227;191;8;36;20;11;10;385
Cantabria;Lyon, Francia;Laboratorio Hubert Curien, Universidad Jean Monnet;;;Carlos Andrés Lara Niño;Researcher;Profesor en Universidad de Cantabria;;2014;4;"Scalar Multiplication; Elliptic Curves; Cryptography";0,84;3;"Linear Cryptanalysis; Block Ciphers; Lightweight";0,9;56565577800;https://www.scopus.com/authid/detail.uri?authorId=56565577800;AAT-1775-2020;https://orcid.org/0000-0003-0333-2564;https://scholar.google.com/citations?user=rZb4ZMsAAAAJ&hl=es;;342;9;9;317;9;9;241;204;8;15;6;40;8,5;291,5
Cantabria;Santander;Universidad de Cantabria;;;Plantilla:;6;Mujeres:;0;0;;"Abelian Variety; Orbit; Integral Points; Quasi-Monte Carlo; Discrepancy; Tractability; Concurrency Control; Transaction Processing; Key; Concurrency Control; Transaction Processing; Key; Scalar Multiplication; Elliptic Curves; Cryptography";0,92;;"Inner Functions; Decomposition; Polynomials; Homomorphic Encryption; Computer Security; Lattice Ideal; Software Security; Requirement Engineering; Business Process Model; Meta-Learning; Learning Systems; Feature Selection; Linear Cryptanalysis; Block Ciphers; Lightweight";0,90;;;;;;;;;;;;;308;;9;39;;15;10;412
Castilla-La Mancha;Ciudad Real;Universidad de Castilla la Mancha;Seguridad y auditoria de sistemas de información - gsya;https://www.uclm.es/es/centros-investigacion/ITSI/secciones-investigacion/GSyA;Eduardo Fernández-Medina Patón;Catedrático;;;2004;4;"Software Security; Requirement Engineering; Business Process Model";0,84;2;"Bitcoin; Ethereum; Internet Of Things";2,57;6508031693;https://www.scopus.com/authid/detail.uri?authorId=6508031693;D-4648-2011;https://orcid.org/0000-0003-2553-9320;https://scholar.google.es/citations?user=KEXI5dIAAAAJ&hl=en;;6822;37;131;2287;21;45;3050;2110;27;212;72;42;32;4936
Castilla-La Mancha;Ciudad Real;Universidad de Castilla la Mancha;Seguridad y auditoria de sistemas de información - gsya;https://www.uclm.es/es/centros-investigacion/ITSI/secciones-investigacion/GSyA;David García Rosado;Titular;;;2006;2;"Software Product Lines; Software Design; Product Configuration";0,77;1;"Cyber Physical System; Industry 4.0; Embedded Systems";1,34;15048635400;https://www.scopus.com/authid/detail.uri?authorId=15048635400;L-8221-2014;https://orcid.org/0000-0003-4613-5501;https://scholar.google.es/citations?user=bbrI5gQAAAAJ&hl=es;;1624;16;24;683;7;3;758;686;10;56;36;21;13;1191
Castilla-La Mancha;Ciudad Real;Universidad de Castilla la Mancha;Seguridad y auditoria de sistemas de información - gsya;https://www.uclm.es/es/centros-investigacion/ITSI/secciones-investigacion/GSyA;Luis Enrique Sánchez Crespo;Profesor Contratado;;;2006;1;"Malware; Obfuscation; Binary Codes";1,51;1;"Cyber Physical System; Industry 4.0; Embedded Systems";1,34;56562416800;https://www.scopus.com/authid/detail.uri?authorId=56562416800;J-8942-2014;https://orcid.org/0000-0003-0086-1065;https://scholar.google.es/citations?user=R1COqZsAAAAJ&hl=es&oi=sra;;747;14;20;327;8;5;0;0;0;0;0;0;7;373,5
Castilla-La Mancha;Ciudad Real;Universidad de Castilla la Mancha;;;Plantilla:;3;Mujeres:;0;0;;"Software Security; Requirement Engineering; Business Process Model; Software Product Lines; Software Design; Product Configuration; Malware; Obfuscation; Binary Codes";1,04;;"Bitcoin; Ethereum; Internet Of Things; Cyber Physical System; Industry 4.0; Embedded Systems; Cyber Physical System; Industry 4.0; Embedded Systems";1,75;;;;;;;;;;;;;1269;;12;89;;21;17;2167
Castilla y León;León;Universidad de León;Ciberseguridad. Aplicaciones, fundamentos y educación - CAFE;https://portalcientifico.unileon.es/grupos/8549/detalle;José Ángel Hermida Alonso;Catedrático;;;1990;1;"Electronic Voting; Security Protocols; Cryptography";0,88;1;"Elections; Voter; Administration of Elections";0,83;56627321300;https://www.scopus.com/authid/detail.uri?authorId=56627321300;DXI-3247-2022;not found;not found;;not found;not found;not found;not found;not found;not found;113;72;7;19;14;8;7;113
Castilla y León;León;Universidad de León;Ciberseguridad. Aplicaciones, fundamentos y educación - CAFE;https://portalcientifico.unileon.es/grupos/8549/detalle;Miguel Carriegos Viera;Titular;;;1998;2;"Network Security; Vulnerability; Attack";0,9;1;"Hyperparameters; Transfer Of Learning; Grid Search";1,96;6506257656;https://www.scopus.com/authid/detail.uri?authorId=6506257656;K-5410-2014;https://orcid.org/0000-0002-6850-0277;https://scholar.google.com/citations?user=vxsPLlUAAAAJ;;246;9;8;123;4;2;115;76;6;37;25;5;7,5;180,5
Castilla y León;León;Universidad de León;Ciberseguridad. Aplicaciones, fundamentos y educación - CAFE;https://portalcientifico.unileon.es/grupos/8549/detalle;María Teresa Trobajo de las Matas;Titular;;1;2003;1;"Malware; Obfuscation; Binary Codes";1,51;1;"Cascading Failure; Giant Component; Robustness";0,95;6504130819;https://www.scopus.com/authid/detail.uri?authorId=6504130819;EAD-9690-2022;https://orcid.org/0000-0003-3433-313X;https://scholar.google.com/citations?hl=en&user=htkNYn4AAAAJ&view_op=list_works&sortby=pubdate;;61;4;1;20;2;1;37;35;3;10;15;2;3,5;49
Castilla y León;León;Universidad de León;Ciberseguridad. Aplicaciones, fundamentos y educación - CAFE;https://portalcientifico.unileon.es/grupos/8549/detalle;Raquel Poy Castro;Titular;;1;2014;1;"Computer Science; Education Computing; Scanning Transmission Electron Microscopy";0,96;1;"Interactive Narrative; Artificial Intelligence; Storytelling";0,73;56095224400;https://www.scopus.com/authid/detail.uri?authorId=56095224400;GPM-9534-2022;https://orcid.org/0000-0003-2206-7372;https://scholar.google.com/citations?hl=en&user=ibz7BwoAAAAJ;;802;12;17;573;11;12;55;55;3;6;10;6;7,5;428,5
Castilla y León;León;Universidad de León;Ciberseguridad. Aplicaciones, fundamentos y educación - CAFE;https://portalcientifico.unileon.es/grupos/8549/detalle;Noemí de Castro García;Profesora Contratada;;1;2016;3;"Hyperparameters; Transfer Of Learning; Grid Search";1,96;2;"Networked Control Systems; Denial-Of-Service Attack; Attack";1,72;56677742300;https://www.scopus.com/authid/detail.uri?authorId=56677742300;GDW-9201-2022;https://orcid.org/0000-0002-5610-0153;https://scholar.google.com/citations?user=vCj2sdAAAAAJ;;241;9;6;229;8;6;149;117;6;22;14;11;7,5;195
Castilla y León;León;Universidad de León;Ciberseguridad. Aplicaciones, fundamentos y educación - CAFE;https://portalcientifico.unileon.es/grupos/8549/detalle;Adriana Remedios Suárez Corona;Profesora Contratado;Directora de la cátedra de Ciberseguridad;1;2010;3;"Group Key Agreement; Group Communication; Network Protocol";0,56;1;"Network Protocol; Secure Multi-Party Computation; Privacy Preserving        ";1,7;36501386200;https://www.scopus.com/authid/detail.uri?authorId=36501386200;GBL-0751-2022;https://orcid.org/0000-0002-8252-8620;https://scholar.google.com/citations?user=XWa-4w0AAAAJ;;84;5;3;39;4;0;42;36;4;15;15;3;4,5;63
Castilla y León;León;Universidad de León;Ciberseguridad. Aplicaciones, fundamentos y educación - CAFE;https://portalcientifico.unileon.es/grupos/8549/detalle;Ángel Luis Muñoz Castañeda;Profesor Ayudante Doctor;;;2013;3;"Hyperparameters; Transfer Of Learning; Grid Search";1,96;2;"Intrusion Detection System; Network Security; Denial-Of-Service Attack        ";2,19;55921200300;https://www.scopus.com/authid/detail.uri?authorId=55921200300;P-7491-2017;https://orcid.org/0000-0001-6993-9110;https://scholar.google.com/citations?user=XTiY-vcAAAAJ;;167;6;3;159;5;3;123;109;5;21;18;7;5,5;145
Castilla y León;León;Universidad de León;;;Plantilla:;7;Mujeres:;4;1;;"Electronic Voting; Security Protocols; Cryptography; Network Security; Vulnerability; Attack; Malware; Obfuscation; Binary Codes; Computer Science; Education Computing; Scanning Transmission Electron Microscopy; Hyperparameters; Transfer Of Learning; Grid Search; Group Key Agreement; Group Communication; Network Protocol; Hyperparameters; Transfer Of Learning; Grid Search";1,25;;"Elections; Voter; Administration of Elections; Hyperparameters; Transfer Of Learning; Grid Search; Cascading Failure; Giant Component; Robustness; Interactive Narrative; Artificial Intelligence; Storytelling; Networked Control Systems; Denial-Of-Service Attack; Attack; Network Protocol; Secure Multi-Party Computation; Privacy Preserving; Intrusion Detection System; Network Security; Denial-Of-Service Attack";1,44;;;;;;;;;;;;;91;;5;19;;6;6;168
