CustomerID,NombreCliente,Edad,Genero,Ciudad,FrecuenciaCompra,MontoTotalCompras,FechaUltimaCompra,TipoProducto,IDProducto,PrecioProducto,CantidadComprada,DescuentoAplicado,ValoracionCliente,FechaCompra,MetodoPago,TiempoRespuesta,TotalItems,PromocionActiva,TotalCompraConDescuento,RecomendacionCliente,Reclamos
CUST1021,Cliente_21,38,M,Unknown,8,742.38,2020-11-22,Tecnología,PROD1021,67.7,4,4,4,2020-12-04 00:00:00,Efectivo,32,7,Unknown,710.0,Sí,1
CUST1022,Cliente_22,27,Male,La Serena,19,5285.87,2019-05-08,Muebles,PROD1022,294.7,1,18,2,2020-03-23 00:00:00,Tarjeta,2,8,Unknown,651.7,No,2
CUST1023,Cliente_23,63,F,Valparaíso,11,9097.04,2020-01-18,Herramientas,PROD1023,259.49,1,28,4,2022-09-29 00:00:00,Crédito,31,5,No,1210.78,Sí,3
CUST1024,Cliente_24,62,F.,Valparaíso,14,4042.66,2018-12-09,Electrodomésticos,PROD1024,119.13,1,-1,5,2022-10-14 00:00:00,tarj,-1,5,Sí,1390.63,Sí,0
CUST1025,Cliente_25,26,M,Santiago,16,2052.86,2018-01-19,Electrodomésticos,PROD1025,136.11,1,4,4,2018-11-16 00:00:00,Crédito,29,3,No,4930.92,No,3
CUST1026,Cliente_26,55,Male,Unknown,10,1080.9,2018-06-06,Muebles,PROD1026,52.24,1,20,1,2021-10-04 00:00:00,Efectivo,12,8,Unknown,901.54,Sí,1
CUST1027,Cliente_27,23,M.,Unknown,17,8604.97,2024-03-09,Herramientas,PROD1027,355.65,1,27,4,2018-06-26 00:00:00,tarj,21,2,Sí,3981.33,Sí,3
CUST1028,Cliente_28,68,M,Valparaíso,15,2464.18,2018-08-29,Muebles,PROD1028,82.69,2,11,5,2018-05-02 00:00:00,Tarjeta,15,8,Unknown,2294.17,Sí,4
CUST1029,Cliente_29,59,Male,nan,11,9753.2,2022-04-13,Herramientas,PROD1029,396.59,2,-1,1,2019-02-03 00:00:00,Efectivo,15,6,Unknown,1252.39,Sí,1
CUST1030,Cliente_30,52,Female,Santiago,8,2553.45,2024-10-28,Muebles,PROD1030,445.94,1,22,4,2020-02-08 00:00:00,Tarjeta,10,9,Sí,4644.0,Sí,0
CUST1031,Cliente_31,35,F,Valparaíso,8,4861.81,2020-04-20,Tecnología,PROD1031,128.14,3,7,1,2021-06-16 00:00:00,Tarjeta,45,4,No,2475.32,No,3
CUST1032,Cliente_32,36,M,La Serena,7,4634.14,2020-01-28,Muebles,PROD1032,137.56,3,24,3,2019-12-23 00:00:00,Crédito,37,7,Unknown,4672.25,No,3
CUST1033,Cliente_33,22,F.,Concepción,20,713.9,,Muebles,PROD1033,70.32,4,22,1,2023-06-29 00:00:00,tarj,53,2,No,4524.66,Sí,3
CUST1034,Cliente_34,42,M.,La Serena,12,5365.21,2023-06-05,Accesorios,PROD1034,275.03,1,26,1,2020-03-10 00:00:00,EFT,26,2,No,3173.35,Sí,0
CUST1035,Cliente_35,28,F.,Antofagasta,21,6759.15,2022-12-03,Herramientas,PROD1035,482.46,2,30,1,2018-05-01 00:00:00,Tarjeta,49,3,Unknown,4559.81,No,4
CUST1036,Cliente_36,27,M,Santiago,28,7447.14,,Tecnología,PROD1036,129.43,2,29,4,2019-02-22 00:00:00,tarj,38,7,Sí,2359.37,No,2
CUST1037,Cliente_37,34,F,Concepción,28,5273.66,2019-03-06,Muebles,PROD1037,88.31,3,12,4,2020-07-12 00:00:00,tarj,12,9,No,1924.14,Sí,2
CUST1038,Cliente_38,53,F,Unknown,27,8144.59,2018-06-19,Tecnología,PROD1038,307.01,3,19,2,2020-10-04 00:00:00,EFT,35,6,No,,No,0
CUST1039,Cliente_39,43,Male,Valparaíso,16,7545.77,2019-06-10,Herramientas,PROD1039,429.7,1,0,1,2022-02-07 00:00:00,EFT,19,6,No,456.72,Sí,4
CUST1040,Cliente_40,48,F.,La Serena,16,2020.35,2024-06-16,Electrodomésticos,PROD1040,436.42,3,26,1,2023-02-06 00:00:00,Efectivo,58,7,Sí,3167.58,No,1
CUST1041,Cliente_41,49,F.,Unknown,10,4075.86,2022-03-18,Accesorios,PROD1041,179.26,3,30,3,2020-01-20 00:00:00,Tarjeta,-1,2,No,315.45,No,3
CUST1042,Cliente_42,38,M.,Santiago,22,1511.56,2019-07-02,Accesorios,PROD1042,395.54,3,11,5,2024-02-07 00:00:00,EFT,49,9,No,53.41,No,2
CUST1043,Cliente_43,35,Male,Santiago,22,1420.89,2024-01-22,Herramientas,PROD1043,300.24,1,28,4,2022-07-10 00:00:00,EFT,48,3,Unknown,2908.47,No,1
CUST1044,Cliente_44,35,M.,Unknown,7,7150.06,2019-07-22,Accesorios,PROD1044,369.12,4,26,2,2024-01-10 00:00:00,Crédito,9,6,Unknown,830.3,No,3
CUST1045,Cliente_45,18,M,Valparaíso,4,5351.55,2019-11-10,Electrodomésticos,PROD1045,341.66,1,25,3,2019-11-25 00:00:00,Tarjeta,49,5,Sí,2623.51,Sí,2
CUST1046,Cliente_46,31,M,Santiago,24,6049.4,2020-01-14,Tecnología,PROD1046,72.56,4,20,2,2022-01-05 00:00:00,Efectivo,53,7,Unknown,3622.76,Sí,1
CUST1047,Cliente_47,25,F.,Valparaíso,2,7348.62,2022-09-11,Muebles,PROD1047,185.17,1,11,3,2023-09-04 00:00:00,tarj,24,4,Sí,2582.39,No,0
CUST1048,Cliente_48,19,Male,Unknown,9,2844.63,2019-07-10,Herramientas,PROD1048,383.92,4,-1,4,N/A,Tarjeta,-1,3,No,3454.15,No,3
CUST1049,Cliente_49,68,Female,Valparaíso,15,4073.48,2020-06-24,Herramientas,PROD1049,382.36,2,21,5,2023-03-12 00:00:00,EFT,-1,9,Unknown,895.61,No,3
CUST1050,Cliente_50,32,F,La Serena,22,6107.35,2018-08-31,Accesorios,PROD1050,69.82,2,15,1,2019-10-17 00:00:00,Tarjeta,46,6,Sí,2118.31,Sí,2
CUST1051,Cliente_51,51,Male,Santiago,14,1056.63,2020-05-13,Muebles,PROD1051,236.42,3,26,4,2022-04-28 00:00:00,Crédito,44,8,Unknown,66.78,No,3
CUST1052,Cliente_52,53,Male,Unknown,12,8347.24,2023-08-21,Accesorios,PROD1052,435.8,2,22,3,2020-08-02 00:00:00,EFT,-1,8,Sí,182.42,No,3
CUST1053,Cliente_53,18,M,Antofagasta,17,3500.15,,Accesorios,PROD1053,397.87,2,29,4,2021-09-14 00:00:00,tarj,50,2,Unknown,2544.1,Sí,3
CUST1054,Cliente_54,68,F,Antofagasta,17,6621.65,2021-06-02,Tecnología,PROD1054,294.65,3,10,2,2018-12-01 00:00:00,Efectivo,-1,5,Sí,1675.72,No,0
CUST1055,Cliente_55,38,Male,La Serena,13,9956.09,2024-07-31,Tecnología,PROD1055,111.15,3,23,4,2019-08-23 00:00:00,Crédito,26,1,Sí,733.9,Sí,2
CUST1056,Cliente_56,59,M,Unknown,8,4806.09,2019-12-07,Accesorios,PROD1056,169.02,4,16,5,2023-12-06 00:00:00,Crédito,32,3,Sí,3655.25,No,4
CUST1057,Cliente_57,18,M,La Serena,10,2228.98,2019-02-19,Electrodomésticos,PROD1057,330.3,1,12,3,2018-08-10 00:00:00,Crédito,19,6,Sí,3766.5,No,0
CUST1058,Cliente_58,49,F.,Valparaíso,26,2242.69,2022-11-29,Herramientas,PROD1058,392.89,2,20,4,2020-10-19 00:00:00,Efectivo,21,4,Sí,130.51,No,1
CUST1059,Cliente_59,37,F.,Unknown,13,697.72,2021-04-10,Electrodomésticos,PROD1059,310.69,1,14,3,2024-04-08 00:00:00,EFT,4,3,No,4662.04,No,0
CUST1060,Cliente_60,64,Male,Antofagasta,7,7694.11,2024-02-13,Herramientas,PROD1060,203.74,4,2,1,2023-05-28 00:00:00,Crédito,48,8,Sí,2545.95,No,0
CUST1061,Cliente_61,53,Male,Santiago,3,3004.97,2018-06-05,Muebles,PROD1061,292.55,1,8,5,2023-09-04 00:00:00,Crédito,14,2,Sí,1133.24,Sí,1
CUST1062,Cliente_62,56,M,Antofagasta,24,1809.99,2023-04-14,Muebles,PROD1062,11.87,4,14,3,2024-03-09 00:00:00,Efectivo,14,1,Sí,2780.87,Sí,1
CUST1063,Cliente_63,47,F.,La Serena,15,7165.59,2022-08-29,Electrodomésticos,PROD1063,370.45,2,28,1,2022-04-18 00:00:00,Tarjeta,-1,6,Sí,4874.42,Sí,1
CUST1064,Cliente_64,24,Male,La Serena,24,3160.45,2023-03-02,Accesorios,PROD1064,423.54,1,28,5,2018-11-22 00:00:00,Efectivo,-1,5,Unknown,2459.58,Sí,4
CUST1065,Cliente_65,39,F,Unknown,29,6044.64,2024-01-02,Accesorios,PROD1065,32.58,3,29,2,2019-01-14 00:00:00,tarj,39,1,No,2152.48,Sí,1
CUST1066,Cliente_66,67,M,Unknown,7,4236.48,2020-10-25,Muebles,PROD1066,205.73,3,17,3,2023-11-27 00:00:00,tarj,54,9,No,1445.85,Sí,0
CUST1067,Cliente_67,62,M,Unknown,5,3408.11,2019-12-29,Accesorios,PROD1067,425.89,2,30,3,2020-12-04 00:00:00,EFT,1,6,Sí,3430.77,No,4
CUST1068,Cliente_68,27,Male,Unknown,8,4945.35,2020-08-17,Tecnología,PROD1068,302.59,1,26,5,2019-01-31 00:00:00,tarj,44,4,No,1145.72,Sí,4
CUST1069,Cliente_69,25,Male,Valparaíso,21,3206.55,2023-09-15,Muebles,PROD1069,246.86,2,4,1,2018-01-15 00:00:00,Crédito,14,9,Unknown,989.45,No,1
CUST1070,Cliente_70,44,Male,Santiago,17,8718.59,2022-12-04,Herramientas,PROD1070,52.66,2,16,2,2021-12-16 00:00:00,Efectivo,37,8,Sí,4845.22,No,1
CUST1071,Cliente_71,27,F,La Serena,8,823.1,2020-12-16,Herramientas,PROD1071,371.23,4,30,3,2023-10-23 00:00:00,tarj,1,9,Sí,3857.37,Sí,2
CUST1072,Cliente_72,31,M,nan,7,398.52,2022-02-26,Accesorios,PROD1072,347.74,2,22,4,2022-10-02 00:00:00,Crédito,35,5,Sí,2147.32,Sí,4
CUST1073,Cliente_73,63,Female,Santiago,7,4123.29,2022-07-04,Herramientas,PROD1073,298.97,2,7,2,2023-08-22 00:00:00,EFT,46,8,Unknown,1245.36,Sí,4
CUST1074,Cliente_74,69,F,Antofagasta,2,1811.15,2018-06-08,Herramientas,PROD1074,39.62,1,30,4,2024-07-21 00:00:00,Efectivo,22,2,No,555.64,No,4
CUST1075,Cliente_75,28,F,Valparaíso,11,7462.89,2019-08-02,Electrodomésticos,PROD1075,324.95,2,11,5,2018-05-01 00:00:00,Efectivo,17,1,No,1664.91,Sí,1
CUST1076,Cliente_76,23,F.,Unknown,12,3599.0,2022-01-15,Electrodomésticos,PROD1076,35.32,4,12,3,2023-10-06 00:00:00,Tarjeta,32,8,Sí,,No,1
CUST1077,Cliente_77,38,M,Antofagasta,28,2688.23,2023-05-05,Herramientas,PROD1077,412.86,3,24,1,2024-04-28 00:00:00,EFT,34,6,Unknown,3168.36,No,4
CUST1078,Cliente_78,50,Female,Unknown,12,3657.88,2018-09-27,Muebles,PROD1078,435.95,1,29,3,2022-10-08 00:00:00,tarj,38,3,Unknown,2119.66,Sí,4
CUST1079,Cliente_79,36,M,nan,19,2272.89,2019-09-01,Herramientas,PROD1079,270.13,4,12,4,2023-11-01 00:00:00,EFT,37,9,Sí,1792.42,No,3
CUST1080,Cliente_80,56,F,La Serena,28,3066.56,2024-02-04,Tecnología,PROD1080,425.73,4,2,2,2023-07-12 00:00:00,tarj,46,3,Unknown,,Sí,4
CUST1081,Cliente_81,41,Male,La Serena,3,5723.05,2020-02-17,Muebles,PROD1081,206.38,1,9,5,2023-12-22 00:00:00,Crédito,11,4,Unknown,3218.48,No,1
CUST1082,Cliente_82,35,M,Santiago,12,8653.92,2023-01-29,Tecnología,PROD1082,152.12,2,29,1,2019-07-07 00:00:00,Efectivo,49,9,Sí,3922.49,No,3
CUST1083,Cliente_83,52,M,Unknown,28,3771.61,,Tecnología,PROD1083,247.21,4,27,4,2018-06-25 00:00:00,EFT,-1,5,Unknown,1489.06,No,1
CUST1084,Cliente_84,69,Male,La Serena,27,3274.65,2019-08-10,Accesorios,PROD1084,283.8,4,3,1,2018-12-15 00:00:00,Crédito,47,6,No,3503.67,No,0
CUST1085,Cliente_85,60,Female,nan,26,7839.72,2018-09-09,Electrodomésticos,PROD1085,385.56,3,18,2,2019-12-25 00:00:00,Crédito,31,4,Sí,4775.5,Sí,2
CUST1086,Cliente_86,54,Female,Santiago,6,322.02,2019-10-06,Accesorios,PROD1086,305.01,2,25,5,2022-04-09 00:00:00,Crédito,26,3,Sí,3905.15,Sí,0
CUST1087,Cliente_87,36,M,nan,6,3090.56,2022-09-18,Tecnología,PROD1087,429.37,1,26,5,2018-10-26 00:00:00,EFT,-1,6,Sí,3653.58,No,0
CUST1088,Cliente_88,41,Male,Concepción,19,4576.49,2024-03-04,Accesorios,PROD1088,468.55,2,17,5,2023-02-10 00:00:00,EFT,42,5,Unknown,1018.85,No,0
CUST1089,Cliente_89,51,F.,La Serena,27,6046.55,2021-10-27,Accesorios,PROD1089,265.78,2,1,3,N/A,EFT,48,2,Unknown,3566.61,No,0
CUST1090,Cliente_90,39,M,Antofagasta,21,1645.01,2022-08-12,Muebles,PROD1090,361.66,4,26,4,2024-03-16 00:00:00,EFT,54,7,Unknown,1787.33,Sí,3
CUST1091,Cliente_91,21,Male,Antofagasta,9,4385.26,2024-02-11,Accesorios,PROD1091,245.94,2,10,1,2024-02-12 00:00:00,EFT,1,5,No,2384.39,No,0
CUST1092,Cliente_92,27,F,Santiago,23,5706.37,2023-12-15,Muebles,PROD1092,453.97,2,-1,2,2021-05-07 00:00:00,Efectivo,33,8,No,4397.7,No,4
CUST1093,Cliente_93,19,F.,nan,9,5151.48,2020-04-15,Accesorios,PROD1093,24.96,4,17,3,2019-07-04 00:00:00,Tarjeta,-1,1,No,995.69,No,2
CUST1094,Cliente_94,25,Male,nan,18,5788.06,2021-05-16,Accesorios,PROD1094,362.12,3,29,4,2022-03-12 00:00:00,EFT,37,9,No,361.36,Sí,1
CUST1095,Cliente_95,50,M,nan,10,6657.74,2022-05-04,Tecnología,PROD1095,253.21,4,-1,5,2024-05-08 00:00:00,Efectivo,40,9,Sí,4867.65,Sí,4
CUST1096,Cliente_96,55,M.,nan,10,3855.79,2020-09-17,Tecnología,PROD1096,39.95,2,1,1,2020-03-27 00:00:00,tarj,34,8,No,,No,3
CUST1097,Cliente_97,60,Female,Concepción,1,729.99,,Herramientas,PROD1097,375.39,1,30,5,2020-12-20 00:00:00,tarj,6,8,No,2598.05,No,1
CUST1098,Cliente_98,45,M,La Serena,18,650.01,,Herramientas,PROD1098,202.48,4,1,3,2019-04-17 00:00:00,Efectivo,37,6,No,275.49,Sí,0
CUST1099,Cliente_99,27,Male,nan,22,8601.28,2018-10-10,Muebles,PROD1099,268.34,1,30,4,2023-11-29 00:00:00,Efectivo,7,8,Unknown,2285.27,Sí,1
CUST1100,Cliente_100,62,F.,Valparaíso,10,6806.45,2020-04-05,Tecnología,PROD1100,359.28,2,11,1,2023-02-16 00:00:00,tarj,1,5,Unknown,1330.37,Sí,4
CUST1101,Cliente_101,18,F.,Valparaíso,7,7665.43,2020-09-03,Herramientas,PROD1101,133.51,2,5,4,2022-11-07 00:00:00,tarj,20,9,No,81.26,No,4
CUST1102,Cliente_102,51,Male,Unknown,8,9295.17,2019-09-20,Accesorios,PROD1102,151.28,4,-1,2,2022-04-15 00:00:00,EFT,56,9,No,2981.5,No,0
CUST1103,Cliente_103,20,Female,Unknown,11,7530.39,2020-05-28,Tecnología,PROD1103,184.76,3,-1,5,2020-02-05 00:00:00,Tarjeta,59,1,Sí,3604.72,No,3
CUST1104,Cliente_104,26,M,Antofagasta,22,6953.78,2023-01-14,Accesorios,PROD1104,376.33,2,8,2,2020-08-27 00:00:00,Tarjeta,-1,9,No,2868.74,Sí,2
CUST1105,Cliente_105,22,F.,La Serena,6,6592.01,2021-03-15,Accesorios,PROD1105,491.09,4,18,4,2023-07-02 00:00:00,Crédito,37,1,Sí,467.09,Sí,1
CUST1106,Cliente_106,59,F.,Valparaíso,19,2659.88,2021-09-24,Muebles,PROD1106,187.85,3,2,3,2023-12-12 00:00:00,tarj,11,6,Sí,460.46,Sí,1
CUST1107,Cliente_107,27,M.,Santiago,9,9577.21,2024-03-02,Tecnología,PROD1107,309.29,2,22,1,2018-07-08 00:00:00,Tarjeta,5,1,Sí,4652.65,Sí,2
CUST1108,Cliente_108,29,F,La Serena,11,5466.24,2022-02-23,Accesorios,PROD1108,168.78,1,16,1,2022-03-10 00:00:00,Tarjeta,56,6,No,3436.27,No,2
CUST1109,Cliente_109,35,M.,Antofagasta,2,2298.53,2021-06-26,Muebles,PROD1109,439.62,2,6,3,2022-09-07 00:00:00,EFT,59,8,No,4342.1,No,1
CUST1110,Cliente_110,38,F,Unknown,11,2177.28,2024-10-06,Electrodomésticos,PROD1110,468.4,1,18,4,2021-05-20 00:00:00,EFT,23,5,Sí,1069.26,Sí,0
CUST1111,Cliente_111,38,F.,Concepción,5,8171.13,2024-05-11,Electrodomésticos,PROD1111,102.92,3,4,4,2022-06-10 00:00:00,Efectivo,29,4,Unknown,1679.47,Sí,0
CUST1112,Cliente_112,18,F,Santiago,19,2577.07,2021-01-03,Accesorios,PROD1112,330.51,4,24,1,2018-01-29 00:00:00,EFT,28,4,Sí,698.81,No,1
CUST1113,Cliente_113,20,M,Santiago,17,510.12,2023-12-20,Accesorios,PROD1113,453.91,3,19,4,2019-10-31 00:00:00,tarj,6,6,Unknown,1084.88,No,2
CUST1114,Cliente_114,22,F.,nan,18,4341.28,2022-04-09,Electrodomésticos,PROD1114,242.74,1,10,1,2018-08-15 00:00:00,EFT,46,1,Sí,4355.01,No,0
CUST1115,Cliente_115,42,F.,La Serena,22,8191.77,2023-03-27,Herramientas,PROD1115,174.32,2,13,1,2019-02-13 00:00:00,Efectivo,-1,8,Unknown,4707.38,No,0
CUST1116,Cliente_116,66,F,Unknown,14,4202.95,2020-04-16,Muebles,PROD1116,453.77,2,13,2,2024-06-09 00:00:00,EFT,48,7,No,2028.32,No,4
CUST1117,Cliente_117,25,Male,Concepción,10,8055.12,,Accesorios,PROD1117,136.36,1,25,1,2023-02-06 00:00:00,tarj,35,1,Sí,4008.79,No,0
CUST1118,Cliente_118,34,F,Santiago,17,8289.39,2019-12-30,Electrodomésticos,PROD1118,111.48,3,13,1,2022-02-22 00:00:00,EFT,18,5,Sí,3121.13,No,0
CUST1119,Cliente_119,26,F,Concepción,11,8591.3,2018-07-29,Electrodomésticos,PROD1119,441.46,1,13,3,2018-09-13 00:00:00,EFT,2,3,Unknown,1763.76,No,1
CUST1120,Cliente_120,49,Female,Antofagasta,2,5930.11,2020-10-13,Electrodomésticos,PROD1120,320.47,1,12,5,N/A,Crédito,17,1,Sí,,No,2
CUST1121,Cliente_121,23,Female,Santiago,10,7024.76,2024-06-01,Electrodomésticos,PROD1121,100.67,1,6,2,2020-02-16 00:00:00,EFT,51,3,Unknown,4232.78,No,3
CUST1122,Cliente_122,66,M,Unknown,21,2692.4,2018-07-03,Electrodomésticos,PROD1122,325.01,3,19,4,2019-01-18 00:00:00,Crédito,29,9,Unknown,2109.13,No,0
CUST1123,Cliente_123,57,M,Valparaíso,1,1087.01,2022-01-12,Electrodomésticos,PROD1123,439.34,1,16,4,2018-02-03 00:00:00,tarj,2,7,Sí,1593.09,No,1
CUST1124,Cliente_124,38,Male,Unknown,14,5374.53,2018-09-06,Accesorios,PROD1124,53.76,1,1,4,2022-08-06 00:00:00,Efectivo,32,5,Sí,3239.47,No,4
CUST1125,Cliente_125,24,Female,Antofagasta,11,204.76,2020-10-11,Muebles,PROD1125,135.78,3,-1,2,2021-01-28 00:00:00,Efectivo,33,3,No,1882.46,No,0
CUST1126,Cliente_126,24,M.,Antofagasta,11,4710.8,2018-11-02,Electrodomésticos,PROD1126,306.06,3,23,2,2018-11-21 00:00:00,Tarjeta,-1,1,No,895.7,Sí,2
CUST1127,Cliente_127,64,M,nan,10,1110.73,,Electrodomésticos,PROD1127,66.34,2,17,5,2023-10-06 00:00:00,Crédito,52,1,No,3228.56,Sí,4
CUST1128,Cliente_128,56,M,Santiago,20,1173.36,2023-05-18,Electrodomésticos,PROD1128,453.67,3,12,3,2024-10-23 00:00:00,Tarjeta,17,2,Unknown,1015.96,Sí,3
CUST1129,Cliente_129,44,Female,Valparaíso,21,8720.76,2018-05-04,Electrodomésticos,PROD1129,300.55,3,3,5,2021-04-03 00:00:00,Crédito,5,2,No,369.96,No,0
CUST1130,Cliente_130,25,Female,Concepción,5,6441.13,2018-02-24,Electrodomésticos,PROD1130,296.64,2,23,3,2021-04-14 00:00:00,tarj,41,2,Unknown,1637.42,No,4
CUST1131,Cliente_131,26,Male,Valparaíso,5,6487.82,2018-04-03,Tecnología,PROD1131,37.39,1,5,3,2020-03-10 00:00:00,EFT,31,1,No,1864.58,Sí,0
CUST1132,Cliente_132,45,Female,Antofagasta,14,4104.32,2019-07-28,Tecnología,PROD1132,216.44,1,0,5,2018-10-20 00:00:00,Crédito,-1,9,Unknown,2941.82,Sí,1
CUST1133,Cliente_133,32,F,Santiago,26,4191.22,2023-04-29,Electrodomésticos,PROD1133,105.51,3,19,3,N/A,Crédito,-1,1,Unknown,4184.43,No,4
CUST1134,Cliente_134,19,F.,Valparaíso,25,3100.77,2021-04-30,Electrodomésticos,PROD1134,406.18,2,30,3,2023-12-10 00:00:00,Crédito,10,3,No,3333.75,Sí,4
CUST1135,Cliente_135,24,M.,Unknown,25,4400.15,2021-08-30,Herramientas,PROD1135,174.7,1,26,3,2019-06-25 00:00:00,Tarjeta,-1,3,No,3171.54,No,3
CUST1136,Cliente_136,64,F.,Valparaíso,5,5912.54,2019-02-23,Herramientas,PROD1136,207.49,1,22,4,2024-07-29 00:00:00,Efectivo,13,7,Unknown,4360.86,No,3
CUST1137,Cliente_137,35,F,Antofagasta,6,1947.23,2022-07-18,Muebles,PROD1137,323.92,3,-1,2,2018-04-05 00:00:00,Efectivo,4,9,No,1240.49,No,2
CUST1138,Cliente_138,39,F,Concepción,24,2690.67,2018-03-09,Tecnología,PROD1138,361.54,2,19,3,2019-09-03 00:00:00,Efectivo,26,3,Unknown,3332.5,No,4
CUST1139,Cliente_139,67,F.,Valparaíso,16,4998.06,2020-03-07,Accesorios,PROD1139,397.09,4,3,3,2020-01-09 00:00:00,tarj,4,1,No,2562.36,No,4
CUST1140,Cliente_140,27,F,nan,28,3909.32,2020-01-17,Muebles,PROD1140,95.68,4,0,1,2020-06-03 00:00:00,Crédito,21,8,Sí,3538.66,Sí,2
CUST1141,Cliente_141,67,M,Valparaíso,23,8212.92,2022-03-03,Muebles,PROD1141,138.65,1,27,2,2019-01-31 00:00:00,Efectivo,52,6,Sí,4134.01,No,4
CUST1142,Cliente_142,50,F.,La Serena,15,8234.7,2022-11-26,Electrodomésticos,PROD1142,55.27,2,29,2,2021-03-11 00:00:00,Crédito,25,1,Sí,3610.41,Sí,1
CUST1143,Cliente_143,24,F,Antofagasta,6,3426.32,2021-11-28,Electrodomésticos,PROD1143,429.66,4,11,5,2023-09-13 00:00:00,EFT,17,3,Sí,2005.96,Sí,1
